Europe Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
198701,-3.78
198702,-0.01
198703,-2.99
198704,-0.25
198705,-0.87
198706,-0.40
198707,0.15
198708,-0.95
198709,0.71
198710,0.38
198711,0.13
198712,0.29
198801,2.04
198802,1.08
198803,-0.20
198804,-0.14
198805,0.79
198806,0.33
198807,0.99
198808,0.31
198809,0.29
198810,0.05
198811,-2.14
198812,0.11
198901,1.89
198902,2.69
198903,2.79
198904,1.41
198905,0.85
198906,0.28
198907,0.54
198908,0.57
198909,0.49
198910,0.67
198911,-0.12
198912,0.61
199001,1.27
199002,4.11
199003,2.80
199004,0.69
199005,0.83
199006,0.20
199007,0.13
199008,0.67
199009,-0.51
199010,0.86
199011,0.74
199012,0.55
199101,1.36
199102,-1.20
199103,1.45
199104,0.09
199105,-1.46
199106,-0.44
199107,0.81
199108,0.89
199109,0.70
199110,0.11
199111,0.42
199112,-0.28
199201,1.05
199202,1.21
199203,1.17
199204,-0.12
199205,0.57
199206,0.61
199207,0.22
199208,1.49
199209,0.04
199210,-1.28
199211,0.06
199212,0.30
199301,1.52
199302,0.28
199303,0.03
199304,0.48
199305,1.22
199306,-0.14
199307,-0.54
199308,-0.14
199309,-0.95
199310,-0.22
199311,-2.53
199312,0.99
199401,2.06
199402,-0.50
199403,1.46
199404,1.04
199405,0.17
199406,-0.05
199407,1.78
199408,1.14
199409,1.17
199410,0.12
199411,0.81
199412,1.00
199501,1.08
199502,3.38
199503,1.11
199504,0.40
199505,0.11
199506,0.69
199507,0.96
199508,0.83
199509,-0.18
199510,1.37
199511,-1.06
199512,-1.25
199601,-0.05
199602,-1.38
199603,-1.33
199604,0.18
199605,0.50
199606,0.43
199607,-0.34
199608,0.71
199609,-1.36
199610,0.40
199611,1.17
199612,-0.74
199701,0.14
199702,1.84
199703,1.06
199704,-1.07
199705,0.46
199706,0.68
199707,0.32
199708,1.32
199709,0.07
199710,-0.30
199711,0.48
199712,0.71
199801,2.18
199802,2.19
199803,0.33
199804,0.98
199805,0.63
199806,1.03
199807,0.39
199808,0.47
199809,0.34
199810,0.44
199811,-1.37
199812,-0.40
199901,1.56
199902,0.64
199903,1.54
199904,1.53
199905,0.47
199906,1.41
199907,1.48
199908,0.71
199909,1.83
199910,0.89
199911,0.07
199912,0.79
200001,0.53
200002,2.21
200003,1.05
200004,2.06
200005,1.47
200006,0.85
200007,0.08
200008,0.93
200009,0.26
200010,1.50
200011,2.11
200012,2.08
200101,2.39
200102,1.28
200103,1.51
200104,0.75
200105,0.78
200106,0.20
200107,1.56
200108,1.50
200109,0.19
200110,2.11
200111,-0.18
200112,-1.64
200201,0.92
200202,3.62
200203,2.18
200204,0.94
200205,1.44
200206,1.52
200207,1.46
200208,1.42
200209,0.42
200210,-0.10
200211,0.83
200212,-1.45
200301,0.09
200302,-0.82
200303,0.83
200304,0.11
200305,2.00
200306,1.95
200307,1.78
200308,2.27
200309,0.63
200310,-0.52
200311,1.38
200312,1.05
200401,0.29
200402,1.25
200403,1.11
200404,0.98
200405,-0.15
200406,0.35
200407,0.39
200408,1.19
200409,0.76
200410,1.33
200411,0.45
200412,1.09
200501,2.17
200502,-0.40
200503,-0.48
200504,1.09
200505,0.81
200506,0.69
200507,1.29
200508,0.53
200509,1.22
200510,1.27
200511,0.61
200512,0.55
200601,-0.66
200602,-0.42
200603,-0.75
200604,1.03
200605,0.87
200606,1.30
200607,2.19
200608,1.11
200609,1.92
200610,2.01
200611,1.66
200612,2.56
200701,3.32
200702,1.38
200703,2.61
200704,1.58
200705,1.81
200706,1.77
200707,0.99
200708,1.26
200709,0.14
200710,0.90
200711,-0.20
200712,0.99
200801,2.04
200802,2.70
200803,1.72
200804,1.39
200805,0.94
200806,1.28
200807,0.89
200808,1.09
200809,-0.03
200810,1.08
200811,1.03
200812,1.14
200901,0.52
200902,0.87
200903,0.88
200904,1.68
200905,1.19
200906,0.85
